Created,Achilles,Atturo,Bridgestone,Cooper,Crosswind,Falken,Federal,Firestone,Goodyear,Hankook,Michelin,Nexen,Nitto,Radar,Sceptor,Toyo,Westlake
2018-01-01,353.0,802.0,261.0,2286.0,131.0,458.0,663.0,543.0,1469.0,2647.0,587.0,998.0,379.0,922.0,0.0,329.0,413.0
2018-01-08,491.0,1222.0,286.0,1737.0,135.0,455.0,651.0,529.0,1396.0,2663.0,567.0,749.0,504.0,706.0,0.0,474.0,671.0
2018-01-15,1054.0,899.0,259.0,1314.0,128.0,301.0,800.0,524.0,1458.0,2156.0,457.0,721.0,952.0,769.0,0.0,927.0,1289.0
2018-01-22,1152.0,712.0,266.0,1428.0,56.0,489.0,738.0,493.0,1464.0,2809.0,646.0,870.0,1085.0,907.0,0.0,882.0,1556.0
2018-01-29,1496.0,606.0,294.0,1132.0,82.0,610.0,869.0,739.0,2198.0,1939.0,598.0,1109.0,1322.0,971.0,0.0,685.0,1113.0
2018-02-05,1959.0,635.0,360.0,1285.0,105.0,566.0,1307.0,783.0,2051.0,2895.0,557.0,1108.0,825.0,2385.0,0.0,582.0,541.0
2018-02-12,1522.0,517.0,319.0,1103.0,113.0,804.0,1057.0,734.0,2044.0,3537.0,468.0,1057.0,797.0,4458.0,0.0,609.0,239.0
2018-02-19,1460.0,526.0,354.0,1438.0,151.0,984.0,1128.0,821.0,2610.0,5475.0,668.0,1635.0,771.0,7329.0,0.0,575.0,322.0
2018-02-26,1324.0,428.0,396.0,1271.0,331.0,798.0,928.0,725.0,2276.0,4126.0,761.0,1799.0,826.0,7098.0,0.0,575.0,340.0
2018-03-05,1210.0,383.0,442.0,1553.0,231.0,544.0,817.0,936.0,2563.0,3877.0,704.0,1576.0,774.0,5634.0,0.0,732.0,684.0
2018-03-12,1059.0,591.0,421.0,1987.0,653.0,795.0,823.0,910.0,2787.0,4479.0,907.0,1732.0,710.0,4068.0,0.0,715.0,739.0
2018-03-19,1233.0,623.0,524.0,2164.0,1161.0,606.0,931.0,900.0,3388.0,4281.0,764.0,1755.0,743.0,3557.0,0.0,830.0,529.0
2018-03-26,1217.0,324.0,481.0,1742.0,1117.0,335.0,691.0,689.0,2932.0,2953.0,793.0,1932.0,662.0,3288.0,0.0,737.0,449.0
