,Brand,Net_Profit,Net_Profit
,,sum,mean
144,Hankook,1880765.1600000507,46.96394636302471
70,Crosswind,1794698.7499999444,15.273641949566771
42,Bridgestone,1624974.4199999613,48.194513746773474
135,Goodyear,1609855.1600000418,40.23631992002104
307,Toyo,1447571.9799999564,66.72376031343427
62,Cooper,1305193.8699999764,39.02274852752045
3,Achilles,1287235.1299999952,16.520170048383516
268,Sceptor,1198814.8399997416,10.642792943952394
102,Firestone,1008108.719999997,45.145934617106896
215,Nexen,973349.6499999783,49.33098423800001
199,Michelin,961442.1999999854,72.91386318822883
33,Atturo,949725.369999996,41.61811437335653
173,Kumho,868705.4500000017,30.296984968437265
246,Radar,817837.769999978,26.972651627584117
217,Nitto,796673.179999997,59.6893069603654
97,Falken,782937.6399999812,38.162294794305964
100,Federal,715768.3899999949,28.177639162270488
342,Westlake,650304.0600000013,12.274288141031716
183,Lexani,626417.4899999769,13.336260458580336
284,Sumitomo,608964.8500000109,29.912803320562478
349,Yokohama,597501.7499999986,49.94581208726896
301,Thunderer,586094.5900000564,24.173833367707008
202,Milestar,537711.0999999773,20.051875745822542
274,Solar,537084.9500000044,9.23524571841262
234,Pirelli,537075.8700000045,50.13309717166102
219,Nokian,507273.92999999836,57.48797937443318
60,Continental,486676.30999999883,60.105756453007146
37,BFGoodrich,478261.63000001275,55.36717179902903
121,General,365711.8899999972,53.83658030325294
309,Trailer King,353579.0700000338,8.169760622935692
197,Maxxis,339459.7799999995,44.7954315122723
194,Mastercraft,332518.9500000025,33.20209186220694
212,Nankang,325738.1400000069,19.698726415094757
169,Kenda,320339.88999999873,36.48102607903414
265,Sailun,309479.4800000007,52.136030997304694
