Created,4X4 HP,4XS,4XS Plus,A/T,ATR Sport,ATR Sport 2,All Season UHP,All-Terrain T/A KO2,Altimax RT43,Argus-UHP,Blizzak WS80,CS5 Ultra Touring,Comfort A5,Couragia M/T,Crugen HT51,Desert Hawk UHP,Desert Hawk X-MT,Dimax AS-8,Discoverer A/T3,Dynapro ATM (RF10),Dynapro HP2 (RA33),Dynapro HT (RH12),HP010,Ice Edge,Ingens A1,LX-Twenty,M/T,MS932 Sport,N Priz AH8,N'Priz AH5,NT555 G2,Open Country A/T II,Open Country M/T,Open Country R/T,Optimo (H724),Proxes R888R,RP18,Ridge Grappler,Road Venture AT51,Roadian HTX RH5,S637 (Trailer),SA07,SL369,SMT A7,SS595,ST Radial II,TM-1,Terra Grappler G2,Trac Grip M/T R408,Trail Blade A/T,Trail Blade X/T,Wildpeak AT3W,Wrangler DuraTrac,Wrangler SR-A,X-COMP M/T
2018-01-01,10.0,1125.0,0.0,83.0,145.0,58.0,22.0,118.0,363.0,47.0,60.0,105.0,2309.0,281.0,72.0,96.0,38.0,625.0,246.0,273.0,18.0,35.0,20.0,171.0,7220.0,74.0,55.0,382.0,23.0,30.0,22.0,44.0,21.0,22.0,606.0,26.0,127.0,86.0,32.0,62.0,33.0,37.0,155.0,166.0,126.0,123.0,0.0,98.0,20.0,310.0,151.0,281.0,60.0,177.0,32.0
2018-01-08,11.0,1608.0,0.0,91.0,241.0,90.0,25.0,95.0,201.0,64.0,37.0,73.0,2212.0,204.0,52.0,87.0,30.0,495.0,166.0,237.0,22.0,68.0,12.0,97.0,6025.0,107.0,40.0,389.0,22.0,17.0,39.0,64.0,33.0,4.0,627.0,47.0,288.0,80.0,50.0,33.0,42.0,80.0,134.0,158.0,151.0,123.0,0.0,142.0,119.0,454.0,281.0,280.0,50.0,151.0,27.0
2018-01-15,6.0,5422.0,0.0,109.0,481.0,188.0,22.0,82.0,191.0,90.0,27.0,88.0,1787.0,327.0,49.0,162.0,125.0,493.0,94.0,253.0,30.0,37.0,12.0,82.0,6624.0,82.0,61.0,386.0,20.0,6.0,87.0,142.0,73.0,94.0,551.0,84.0,754.0,162.0,65.0,69.0,90.0,60.0,130.0,176.0,201.0,148.0,4.0,197.0,140.0,319.0,272.0,170.0,46.0,200.0,30.0
2018-01-22,2.0,3609.0,0.0,54.0,511.0,144.0,18.0,88.0,330.0,49.0,8.0,104.0,1888.0,281.0,59.0,231.0,84.0,616.0,186.0,660.0,41.0,120.0,14.0,37.0,5999.0,85.0,13.0,372.0,17.0,39.0,131.0,136.0,69.0,127.0,857.0,58.0,803.0,203.0,127.0,73.0,204.0,120.0,225.0,225.0,217.0,191.0,0.0,250.0,89.0,271.0,165.0,299.0,67.0,286.0,89.0
2018-01-29,5.0,3204.0,0.0,34.0,632.0,156.0,36.0,88.0,376.0,41.0,49.0,101.0,2474.0,229.0,99.0,292.0,174.0,692.0,101.0,445.0,15.0,69.0,14.0,46.0,6103.0,32.0,30.0,522.0,13.0,54.0,55.0,121.0,62.0,83.0,385.0,45.0,502.0,156.0,126.0,38.0,116.0,176.0,203.0,267.0,415.0,232.0,0.0,193.0,89.0,198.0,186.0,404.0,113.0,327.0,134.0
2018-02-05,19.0,4305.0,0.0,58.0,947.0,252.0,28.0,135.0,388.0,86.0,34.0,123.0,2833.0,251.0,111.0,337.0,172.0,1688.0,138.0,720.0,25.0,193.0,19.0,91.0,6199.0,91.0,14.0,888.0,10.0,39.0,105.0,58.0,36.0,40.0,865.0,66.0,177.0,171.0,275.0,135.0,108.0,144.0,136.0,339.0,669.0,256.0,0.0,157.0,169.0,247.0,136.0,386.0,92.0,383.0,88.0
2018-02-12,4.0,5356.0,0.0,24.0,686.0,210.0,17.0,71.0,381.0,77.0,21.0,79.0,2434.0,289.0,78.0,260.0,191.0,3030.0,114.0,1035.0,124.0,331.0,2.0,24.0,5783.0,93.0,31.0,1079.0,4.0,8.0,78.0,72.0,44.0,68.0,955.0,45.0,39.0,123.0,254.0,133.0,129.0,37.0,121.0,275.0,539.0,323.0,2.0,197.0,134.0,172.0,170.0,572.0,79.0,409.0,59.0
2018-02-19,13.0,7281.0,0.0,33.0,642.0,293.0,30.0,85.0,502.0,117.0,17.0,93.0,3783.0,424.0,103.0,229.0,207.0,5109.0,192.0,1716.0,72.0,341.0,5.0,25.0,8433.0,98.0,15.0,1645.0,11.0,12.0,69.0,71.0,22.0,74.0,2009.0,62.0,80.0,133.0,379.0,213.0,176.0,53.0,126.0,405.0,377.0,690.0,0.0,189.0,266.0,137.0,112.0,687.0,101.0,451.0,84.0
2018-02-26,16.0,8346.0,0.0,31.0,534.0,272.0,47.0,129.0,409.0,167.0,8.0,142.0,3327.0,321.0,132.0,297.0,104.0,4735.0,182.0,1094.0,63.0,259.0,16.0,11.0,6615.0,86.0,28.0,1414.0,9.0,16.0,84.0,98.0,24.0,53.0,1579.0,56.0,38.0,129.0,262.0,299.0,211.0,81.0,148.0,381.0,331.0,1084.0,0.0,203.0,133.0,103.0,99.0,587.0,92.0,538.0,72.0
2018-03-05,13.0,6863.0,0.0,47.0,500.0,320.0,39.0,134.0,419.0,271.0,11.0,130.0,3346.0,294.0,119.0,303.0,40.0,3783.0,194.0,963.0,73.0,285.0,18.0,9.0,5747.0,89.0,33.0,1505.0,9.0,32.0,101.0,94.0,28.0,69.0,1291.0,102.0,61.0,109.0,279.0,208.0,152.0,63.0,407.0,275.0,285.0,2274.0,0.0,196.0,75.0,128.0,62.0,381.0,123.0,539.0,78.0
