,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2019-01-25,979.5954193285455,719.6129193612678,1243.3689062243595,943,2019-01-24
1,2019-01-26,649.0847146092221,371.71937326501137,926.1571979997964,659,2019-01-24
2,2019-01-27,551.6370502650389,286.98297704446094,829.4793663278074,579,2019-01-24
3,2019-01-28,1047.2437704150734,788.1365423636014,1313.7905279335596,1020,2019-01-24
4,2019-01-29,1077.3907220288527,800.1455191895598,1347.6058512618129,879,2019-01-24
5,2019-01-30,1037.1518072555507,754.880290998797,1305.2314872721097,913,2019-01-24
6,2019-01-31,983.1242048426543,689.6153734701978,1254.9290847333166,903,2019-01-24
7,2019-02-01,1041.0273281487682,765.1989318288997,1317.4287318599631,1072,2019-01-24
8,2019-02-02,705.3052542478388,441.14634315121816,976.0769513797785,795,2019-01-24
9,2019-02-03,601.7151250670393,311.2720971458823,860.5810477822749,641,2019-01-24
10,2019-02-04,1090.4425759268593,829.4001369110919,1358.3062349632955,956,2019-01-24
11,2019-02-05,1113.1968163937834,833.2763818726245,1376.2291893235154,1067,2019-01-24
12,2019-02-06,1065.296746342227,817.0148230840283,1340.9125053955274,1071,2019-01-24
13,2019-02-07,1003.5979882959874,722.5501537829673,1274.8636620823656,1122,2019-01-24
14,2019-02-08,1054.0831705737946,795.1651272671734,1313.7966980211997,945,2019-01-24
15,2019-02-09,711.4554771633723,446.5758833334454,1001.8997324756263,836,2019-01-24
16,2019-02-10,601.7182523689054,326.9531125622225,860.0950217385839,699,2019-01-24
17,2019-02-11,1085.2819993843211,819.0621018308386,1340.5832875906149,1123,2019-01-24
18,2019-02-12,1104.051669468771,841.1131461120965,1380.725362942986,1063,2019-01-24
19,2019-02-13,1053.505875887209,770.7894326111174,1302.691127740819,1115,2019-01-24
20,2019-02-14,990.6181368746302,722.0598233158498,1254.8870742998597,1251,2019-01-24
21,2019-02-15,1041.4426702907772,758.7487585805496,1306.5234805041896,1250,2019-01-24
22,2019-02-16,700.7049033835547,441.55099548950477,971.4162882987722,1058,2019-01-24
23,2019-02-17,594.3795879542066,336.8017854921752,890.6327553655344,794,2019-01-24
24,2019-02-18,729.6539742698164,465.4709770003461,1012.8959000459889,1267,2019-01-24
25,2019-02-19,1107.7365236086712,841.4300624020159,1375.0245802863556,1009,2019-01-24
26,2019-02-20,1064.500010509664,771.2868487446482,1344.351624747532,1074,2019-01-24
