Created,Passenger,ds,y
2018-01-01,2699,2018-01-01,2699
2018-01-02,4374,2018-01-02,4374
2018-01-03,4976,2018-01-03,4976
2018-01-04,4060,2018-01-04,4060
2018-01-05,4374,2018-01-05,4374
2018-01-06,3757,2018-01-06,3757
2018-01-07,3222,2018-01-07,3222
2018-01-08,4263,2018-01-08,4263
2018-01-09,3880,2018-01-09,3880
2018-01-10,3978,2018-01-10,3978
2018-01-11,3941,2018-01-11,3941
2018-01-12,3844,2018-01-12,3844
2018-01-13,3280,2018-01-13,3280
2018-01-14,2751,2018-01-14,2751
2018-01-15,3857,2018-01-15,3857
2018-01-16,4122,2018-01-16,4122
2018-01-17,5897,2018-01-17,5897
2018-01-18,5565,2018-01-18,5565
2018-01-19,4220,2018-01-19,4220
2018-01-20,3450,2018-01-20,3450
2018-01-21,3283,2018-01-21,3283
2018-01-22,4113,2018-01-22,4113
2018-01-23,4000,2018-01-23,4000
2018-01-24,4992,2018-01-24,4992
2018-01-25,5482,2018-01-25,5482
2018-01-26,4129,2018-01-26,4129
2018-01-27,3757,2018-01-27,3757
2018-01-28,3901,2018-01-28,3901
2018-01-29,4657,2018-01-29,4657
2018-01-30,4179,2018-01-30,4179
2018-01-31,4289,2018-01-31,4289
2018-02-01,4942,2018-02-01,4942
2018-02-02,4492,2018-02-02,4492
2018-02-03,4181,2018-02-03,4181
2018-02-04,4026,2018-02-04,4026
2018-02-05,4693,2018-02-05,4693
2018-02-06,4640,2018-02-06,4640
2018-02-07,5063,2018-02-07,5063
2018-02-08,5700,2018-02-08,5700
2018-02-09,5575,2018-02-09,5575
2018-02-10,5224,2018-02-10,5224
2018-02-11,5363,2018-02-11,5363
2018-02-12,5310,2018-02-12,5310
2018-02-13,5572,2018-02-13,5572
2018-02-14,5816,2018-02-14,5816
2018-02-15,6228,2018-02-15,6228
2018-02-16,4830,2018-02-16,4830
2018-02-17,5488,2018-02-17,5488
2018-02-18,4434,2018-02-18,4434
2018-02-19,4119,2018-02-19,4119
2018-02-20,5875,2018-02-20,5875
2018-02-21,7074,2018-02-21,7074
2018-02-22,10015,2018-02-22,10015
2018-02-23,10404,2018-02-23,10404
2018-02-24,7888,2018-02-24,7888
2018-02-25,6897,2018-02-25,6897
2018-02-26,7681,2018-02-26,7681
2018-02-27,7903,2018-02-27,7903
2018-02-28,8293,2018-02-28,8293
2018-03-01,6945,2018-03-01,6945
2018-03-02,7933,2018-03-02,7933
2018-03-03,5395,2018-03-03,5395
2018-03-04,4692,2018-03-04,4692
2018-03-05,5245,2018-03-05,5245
2018-03-06,5205,2018-03-06,5205
2018-03-07,7614,2018-03-07,7614
2018-03-08,8133,2018-03-08,8133
2018-03-09,6837,2018-03-09,6837
2018-03-10,6289,2018-03-10,6289
2018-03-11,5611,2018-03-11,5611
2018-03-12,6635,2018-03-12,6635
2018-03-13,6486,2018-03-13,6486
2018-03-14,6663,2018-03-14,6663
2018-03-15,6518,2018-03-15,6518
2018-03-16,6180,2018-03-16,6180
2018-03-17,4793,2018-03-17,4793
2018-03-18,5022,2018-03-18,5022
2018-03-19,7676,2018-03-19,7676
2018-03-20,6940,2018-03-20,6940
2018-03-21,6725,2018-03-21,6725
2018-03-22,6667,2018-03-22,6667
2018-03-23,6616,2018-03-23,6616
2018-03-24,5661,2018-03-24,5661
2018-03-25,5416,2018-03-25,5416
2018-03-26,6292,2018-03-26,6292
2018-03-27,6280,2018-03-27,6280
2018-03-28,5973,2018-03-28,5973
2018-03-29,5785,2018-03-29,5785
2018-03-30,5883,2018-03-30,5883
2018-03-31,4439,2018-03-31,4439
2018-04-01,4155,2018-04-01,4155
2018-04-02,31251,2018-04-02,31251
2018-04-03,6146,2018-04-03,6146
2018-04-04,6199,2018-04-04,6199
2018-04-05,6368,2018-04-05,6368
2018-04-06,6027,2018-04-06,6027
2018-04-07,5225,2018-04-07,5225
2018-04-08,4732,2018-04-08,4732
2018-04-09,5773,2018-04-09,5773
2018-04-10,5940,2018-04-10,5940
2018-04-11,6460,2018-04-11,6460
2018-04-12,6143,2018-04-12,6143
2018-04-13,5936,2018-04-13,5936
2018-04-14,5219,2018-04-14,5219
2018-04-15,4833,2018-04-15,4833
2018-04-16,6477,2018-04-16,6477
2018-04-17,6175,2018-04-17,6175
2018-04-18,6270,2018-04-18,6270
2018-04-19,6352,2018-04-19,6352
2018-04-20,6111,2018-04-20,6111
2018-04-21,5114,2018-04-21,5114
2018-04-22,4453,2018-04-22,4453
2018-04-23,6381,2018-04-23,6381
2018-04-24,6823,2018-04-24,6823
2018-04-25,6407,2018-04-25,6407
2018-04-26,5976,2018-04-26,5976
2018-04-27,5711,2018-04-27,5711
2018-04-28,4715,2018-04-28,4715
2018-04-29,4602,2018-04-29,4602
2018-04-30,6209,2018-04-30,6209
2018-05-01,6651,2018-05-01,6651
2018-05-02,5690,2018-05-02,5690
2018-05-03,5624,2018-05-03,5624
2018-05-04,5228,2018-05-04,5228
2018-05-05,4074,2018-05-05,4074
2018-05-06,3325,2018-05-06,3325
2018-05-07,4654,2018-05-07,4654
2018-05-08,4357,2018-05-08,4357
2018-05-09,6971,2018-05-09,6971
2018-05-10,4420,2018-05-10,4420
2018-05-11,4975,2018-05-11,4975
2018-05-12,4822,2018-05-12,4822
2018-05-13,5459,2018-05-13,5459
2018-05-14,5832,2018-05-14,5832
2018-05-15,6469,2018-05-15,6469
2018-05-16,8352,2018-05-16,8352
2018-05-17,6847,2018-05-17,6847
2018-05-18,6740,2018-05-18,6740
2018-05-19,7812,2018-05-19,7812
2018-05-20,6850,2018-05-20,6850
2018-05-21,7903,2018-05-21,7903
2018-05-22,8524,2018-05-22,8524
2018-05-23,15058,2018-05-23,15058
2018-05-24,6554,2018-05-24,6554
2018-05-25,5736,2018-05-25,5736
