,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2019-01-21 00:00:00,1705.9532972237396,1443.6257290701737,1973.3081347542598,1619,2019-01-19 18:00:00
1,2019-01-28 00:00:00,1755.5361219581193,1481.8583225463458,2030.7942425853582,1493,2019-01-19 18:00:00
2,2019-02-04 00:00:00,1665.3599207265418,1392.343999581132,1939.7590216586311,974,2019-01-19 18:00:00
3,2019-02-11 00:00:00,1672.322839393911,1405.0292503710373,1923.3275492120877,888,2019-01-19 18:00:00
4,2019-02-18 00:00:00,2069.9325249533354,1800.5267542961924,2330.886912124244,969,2019-01-19 18:00:00
5,2019-02-25 00:00:00,2635.653162328466,2358.251282686426,2910.8365113457658,1481,2019-01-19 18:00:00
6,2019-03-04 00:00:00,3451.4101692102686,3181.396629930011,3715.242220662773,1613,2019-01-19 18:00:00
7,2019-03-11 00:00:00,4165.102724176281,3899.1169576006346,4441.240366706294,2024,2019-01-19 18:00:00
8,2019-03-18 00:00:00,4619.580523606346,4348.739445455856,4884.317574019715,2504,2019-01-19 18:00:00
9,2019-03-25 00:00:00,4834.768833227356,4550.585541998766,5102.390507489963,2476,2019-01-19 18:00:00
10,2019-04-01 00:00:00,4916.308595873636,4657.898777583468,5178.458728323079,2244,2019-01-19 18:00:00
11,2019-04-08 00:00:00,4925.996986686264,4635.484677754141,5220.578042533281,2742,2019-01-19 18:00:00
12,2019-04-15 00:00:00,4850.121936634905,4567.903463543766,5123.148605491628,3250,2019-01-19 18:00:00
13,2019-04-22 00:00:00,4673.863105008379,4388.724072608959,4948.415706203741,3113,2019-01-19 18:00:00
14,2019-04-29 00:00:00,4457.059293893483,4175.364840538727,4731.755649514502,2508,2019-01-19 18:00:00
15,2019-05-06 00:00:00,4324.095234248623,4054.905910382245,4611.967879793645,2374,2019-01-19 18:00:00
16,2019-05-13 00:00:00,4383.433802759884,4094.903145917665,4656.608086764187,3051,2019-01-19 18:00:00
17,2019-05-20 00:00:00,4654.26258525197,4382.007218719752,4931.684553072571,3127,2019-01-19 18:00:00
18,2019-05-27 00:00:00,5036.799938348831,4767.887784412527,5313.913857904006,3735,2019-01-19 18:00:00
19,2019-06-03 00:00:00,5403.501454079175,5139.993137539831,5674.227684640263,3316,2019-01-19 18:00:00
20,2019-06-10 00:00:00,5538.742100315994,5256.883748287884,5814.549913070371,2412,2019-01-19 18:00:00
21,2019-06-17 00:00:00,5343.832972714386,5056.3229049479905,5623.639106243957,3045,2019-01-19 18:00:00
