,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,324.47936344428996,-31.272969362971928,201.61457762839686,324.47936344428996,324.47936344428996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.799929659381,-109.799929659381,-109.799929659381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-239.0992388029243,-239.0992388029243,-239.0992388029243,-109.799929659381,-109.799929659381,-109.799929659381,99.97155181628473,99.97155181628473,99.97155181628473,-229.27086095982807,-229.27086095982807,-229.27086095982807,0.0,0.0,0.0,85.38012464136565
1,2018-01-02,325.55069713515974,62.75830108317627,276.2084219572203,325.55069713515974,325.55069713515974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-157.0561711384319,-157.0561711384319,-157.0561711384319,0.0,0.0,0.0,72.76740485331915,72.76740485331915,72.76740485331915,-229.82357599175106,-229.82357599175106,-229.82357599175106,0.0,0.0,0.0,168.49452599672784
2,2018-01-03,326.6220308260295,15.008613753858304,249.21476532697645,326.62203082602946,326.62203082602946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-193.36557104267078,-193.36557104267078,-193.36557104267078,0.0,0.0,0.0,36.67609461350433,36.67609461350433,36.67609461350433,-230.0416656561751,-230.0416656561751,-230.0416656561751,0.0,0.0,0.0,133.25645978335874
3,2018-01-04,327.6933645168993,-16.736257844236118,207.9719191017708,327.6933645168993,327.6933645168993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.65173756116087,-233.65173756116087,-233.65173756116087,0.0,0.0,0.0,-3.762680926616229,-3.762680926616229,-3.762680926616229,-229.88905663454463,-229.88905663454463,-229.88905663454463,0.0,0.0,0.0,94.04162695573842
4,2018-01-05,328.7646982077691,-39.36170636684785,200.01740032103527,328.7646982077691,328.7646982077691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.18069260469312,-250.18069260469312,-250.18069260469312,0.0,0.0,0.0,-20.84283490842748,-20.84283490842748,-20.84283490842748,-229.33785769626562,-229.33785769626562,-229.33785769626562,0.0,0.0,0.0,78.58400560307595
5,2018-01-06,329.8360318986388,-100.0182505698689,127.53275685781297,329.8360318986388,329.8360318986388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316.31067634559736,-316.31067634559736,-316.31067634559736,0.0,0.0,0.0,-87.94094704260776,-87.94094704260776,-87.94094704260776,-228.36972930298955,-228.36972930298955,-228.36972930298955,0.0,0.0,0.0,13.525355553041436
6,2018-01-07,330.9073655895086,-110.16271553695474,123.49243692482162,330.9073655895086,330.9073655895086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-323.8456072564731,-323.8456072564731,-323.8456072564731,0.0,0.0,0.0,-96.86858840530108,-96.86858840530108,-96.86858840530108,-226.977018851172,-226.977018851172,-226.977018851172,0.0,0.0,0.0,7.0617583330354705
7,2018-01-08,331.97869928037835,84.33726341698157,324.47191947561566,331.97869928037835,331.97869928037835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125.19206505986953,-125.19206505986953,-125.19206505986953,0.0,0.0,0.0,99.97155181615165,99.97155181615165,99.97155181615165,-225.1636168760212,-225.1636168760212,-225.1636168760212,0.0,0.0,0.0,206.7866342205088
8,2018-01-09,333.05003297124813,76.14195450784197,300.17646867135164,333.05003297124813,333.05003297124813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.17809178975253,-150.17809178975253,-150.17809178975253,0.0,0.0,0.0,72.76740485321817,72.76740485321817,72.76740485321817,-222.94549664297068,-222.94549664297068,-222.94549664297068,0.0,0.0,0.0,182.8719411814956
9,2018-01-10,334.12136666211785,37.96028382241947,271.4673835481879,334.12136666211785,334.12136666211785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-183.67481336620787,-183.67481336620787,-183.67481336620787,0.0,0.0,0.0,36.67609461342742,36.67609461342742,36.67609461342742,-220.35090797963528,-220.35090797963528,-220.35090797963528,0.0,0.0,0.0,150.44655329590998
10,2018-01-11,335.19270035298763,-4.575823076840321,228.1056016709175,335.19270035298763,335.19270035298763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-221.18288665252706,-221.18288665252706,-221.18288665252706,0.0,0.0,0.0,-3.7626809265639967,-3.7626809265639967,-3.7626809265639967,-217.42020572596306,-217.42020572596306,-217.42020572596306,0.0,0.0,0.0,114.00981370046057
11,2018-01-12,336.2640340438574,-12.142378142476367,203.27740351975842,336.2640340438574,336.2640340438574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-235.04813845340695,-235.04813845340695,-235.04813845340695,0.0,0.0,0.0,-20.842834908524058,-20.842834908524058,-20.842834908524058,-214.2053035448829,-214.2053035448829,-214.2053035448829,0.0,0.0,0.0,101.21589559045046
