Created,ATV/UTV,Antique,Commercial,Farm,Golf,Industrial,Lawn & Garden,Light Truck,Motorcycle,OTR,Passenger,Racing,Temp Spare,Trailer
2018-01-01,354.0,0.0,601.0,239.0,21.0,200.0,229.0,5628.0,0.0,24.0,27462.0,0.0,1.0,454.0
2018-01-08,316.0,0.0,585.0,359.0,50.0,203.0,257.0,5780.0,0.0,8.0,25937.0,0.0,1.0,509.0
2018-01-15,314.0,0.0,662.0,340.0,23.0,188.0,221.0,5576.0,4.0,19.0,30394.0,0.0,2.0,545.0
2018-01-22,399.0,0.0,1149.0,430.0,13.0,136.0,273.0,6379.0,3.0,1.0,30374.0,0.0,1.0,762.0
2018-01-29,355.0,2.0,1384.0,472.0,25.0,178.0,309.0,7000.0,1.0,4.0,30766.0,0.0,3.0,803.0
2018-02-05,342.0,6.0,1270.0,482.0,20.0,227.0,241.0,7056.0,4.0,11.0,36258.0,0.0,3.0,905.0
2018-02-12,325.0,4.0,1127.0,484.0,22.0,212.0,255.0,6416.0,6.0,9.0,37678.0,0.0,5.0,862.0
2018-02-19,348.0,0.0,1197.0,528.0,36.0,206.0,255.0,7520.0,3.0,8.0,52272.0,0.0,7.0,1385.0
2018-02-26,364.0,0.0,1453.0,644.0,41.0,331.0,289.0,7063.0,2.0,16.0,48842.0,2.0,2.0,1840.0
2018-03-05,403.0,0.0,1306.0,989.0,18.0,153.0,474.0,7826.0,4.0,11.0,44934.0,0.0,13.0,3017.0
2018-03-12,448.0,0.0,1353.0,841.0,73.0,163.0,493.0,8180.0,4.0,7.0,42297.0,0.0,8.0,3477.0
2018-03-19,499.0,0.0,1573.0,566.0,59.0,230.0,411.0,7937.0,4.0,15.0,45701.0,0.0,7.0,4161.0
2018-03-26,420.0,0.0,2006.0,471.0,17.0,140.0,454.0,6259.0,4.0,38.0,38807.0,0.0,3.0,4446.0
2018-04-02,658.0,0.0,1944.0,523.0,28.0,183.0,451.0,6724.0,2.0,8.0,65948.0,0.0,3.0,4221.0
2018-04-09,804.0,7.0,1328.0,496.0,75.0,202.0,619.0,7397.0,4.0,3.0,40304.0,0.0,2.0,4531.0
2018-04-16,745.0,5.0,1768.0,536.0,58.0,270.0,678.0,7428.0,4.0,12.0,40952.0,0.0,4.0,4197.0
2018-04-23,600.0,2.0,2006.0,577.0,44.0,258.0,938.0,6850.0,8.0,14.0,40615.0,0.0,4.0,4545.0
2018-04-30,567.0,2.0,1630.0,515.0,62.0,223.0,743.0,7107.0,8.0,30.0,36801.0,2.0,4.0,3760.0
2018-05-07,459.0,1.0,1345.0,530.0,38.0,338.0,580.0,5855.0,6.0,16.0,35658.0,4.0,2.0,3405.0
2018-05-14,608.0,7.0,1695.0,626.0,21.0,288.0,815.0,8173.0,7.0,24.0,48902.0,0.0,3.0,4532.0
2018-05-21,592.0,1.0,1690.0,780.0,42.0,296.0,724.0,9005.0,3.0,28.0,53589.0,2.0,2.0,4513.0
2018-05-28,526.0,4.0,1171.0,545.0,34.0,225.0,687.0,7366.0,11.0,13.0,47749.0,2.0,9.0,4914.0
2018-06-04,557.0,5.0,2015.0,585.0,31.0,271.0,746.0,7710.0,14.0,13.0,53584.0,0.0,8.0,5438.0
2018-06-11,421.0,0.0,1530.0,536.0,92.0,243.0,551.0,8158.0,7.0,11.0,52081.0,0.0,10.0,5097.0
2018-06-18,448.0,4.0,1558.0,521.0,60.0,183.0,596.0,8161.0,6.0,12.0,52240.0,0.0,9.0,4961.0
2018-06-25,474.0,0.0,1483.0,547.0,81.0,186.0,474.0,8286.0,5.0,36.0,48210.0,0.0,9.0,4915.0
2018-07-02,412.0,0.0,1176.0,362.0,51.0,171.0,422.0,7758.0,11.0,24.0,45904.0,0.0,2.0,4027.0
2018-07-09,437.0,0.0,1451.0,430.0,73.0,214.0,395.0,7715.0,13.0,7.0,44829.0,0.0,6.0,3246.0
2018-07-16,627.0,4.0,2102.0,719.0,68.0,299.0,510.0,9557.0,16.0,22.0,49675.0,0.0,10.0,3837.0
