,Sub_Type,Net_Profit,Net_Profit
,,sum,mean
10,Passenger,40875692.699984275,22.737481080224413
7,Light Truck,15978499.979998974,47.69402509096138
2,Commercial,4863108.33999991,110.54277589616326
13,Trailer,1959877.5000002775,15.846357535577923
3,Farm,1391855.1900000165,52.102088418058564
5,Industrial,603549.77,63.679021945558134
0,ATV/UTV,487799.8099999984,21.927528993976374
6,Lawn & Garden,385394.8100000055,13.933794063415363
9,OTR,155442.75000000012,245.17783911671944
4,Golf,28266.16000000004,15.496798245614057
11,Racing,9341.320000000005,71.30778625954203
8,Motorcycle,6971.560000000001,17.045378973105137
12,Temp Spare,5647.93999999999,10.401362799263332
1,Antique,4414.090000000001,102.6532558139535
