Created,Trailer
2018-01-01,454
2018-01-08,509
2018-01-15,545
2018-01-22,762
2018-01-29,803
2018-02-05,905
2018-02-12,862
2018-02-19,1385
2018-02-26,1840
2018-03-05,3017
2018-03-12,3477
2018-03-19,4161
2018-03-26,4446
2018-04-02,4221
2018-04-09,4531
2018-04-16,4197
2018-04-23,4545
2018-04-30,3760
2018-05-07,3405
2018-05-14,4532
2018-05-21,4513
2018-05-28,4914
2018-06-04,5438
2018-06-11,5097
2018-06-18,4961
2018-06-25,4915
2018-07-02,4027
2018-07-09,3246
2018-07-16,3837
2018-07-23,4508
2018-07-30,4319
2018-08-06,4102
2018-08-13,3883
2018-08-20,3728
2018-08-27,3437
2018-09-03,3949
2018-09-10,3082
2018-09-17,3270
2018-09-24,2728
2018-10-01,3069
2018-10-08,2184
2018-10-15,1412
2018-10-22,1470
2018-10-29,1396
2018-11-05,1434
2018-11-12,1466
2018-11-19,1538
2018-11-26,1551
2018-12-03,1823
2018-12-10,2142
2018-12-17,1703
2018-12-24,1680
2018-12-31,2080
2019-01-07,2330
2019-01-14,2010
2019-01-21,2220
2019-01-28,2102
2019-02-04,1550
2019-02-11,1492
2019-02-18,1553
2019-02-25,2093
2019-03-04,2291
2019-03-11,2985
2019-03-18,3541
2019-03-25,3584
2019-04-01,3405
2019-04-08,3949
2019-04-15,4361
2019-04-22,4369
2019-04-29,3767
2019-05-06,3638
2019-05-13,4546
2019-05-20,4710
2019-05-27,5643
2019-06-03,5031
2019-06-10,4210
2019-06-17,4976
2019-06-24,4568
2019-07-01,3450
2019-07-08,3257
2019-07-15,4559
2019-07-22,4265
2019-07-29,4283
2019-08-05,4024
2019-08-12,3644
2019-08-19,4114
2019-08-26,4610
2019-09-02,4129
2019-09-09,3849
2019-09-16,4171
2019-09-23,4028
2019-09-30,3580
2019-10-07,2893
2019-10-14,2647
2019-10-21,2584
2019-10-28,2540
2019-11-04,2126
2019-11-11,1849
2019-11-18,1781
2019-11-25,1858
2019-12-02,2153
2019-12-09,1606
2019-12-16,1268
2019-12-23,1086
2019-12-30,1185
2020-01-06,1380
2020-01-13,1479
2020-01-20,965
